epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26388,0.98973,4.45789,1.35483,0,0,0,0,0.82586,3.94348,1.19411,6.66e-06,6.66e-06,6.66e-06
2,4.79356,0.97473,4.23183,1.29148,0,0,0,0,0.78436,3.94137,1.17082,1.63203e-05,1.63203e-05,1.63203e-05
3,6.44488,0.94612,4.28834,1.3236,0,0,0,0,0.76384,3.93903,1.1582,2.55851e-05,2.55851e-05,2.55851e-05
4,8.03923,0.88091,4.19182,1.19411,0,0,0,0,0.79098,3.93722,1.16569,3.44542e-05,3.44542e-05,3.44542e-05
5,9.59635,1.00386,4.40653,1.25457,0,0,0,0,0.79981,3.94061,1.17578,4.29277e-05,4.29277e-05,4.29277e-05
6,11.1633,0.97619,4.3743,1.17512,0,0,0,0,0.79432,3.93397,1.17166,5.10056e-05,5.10056e-05,5.10056e-05
7,12.827,1.02255,4.17046,1.20419,0,0,0,0,0.80652,3.92455,1.17398,5.86879e-05,5.86879e-05,5.86879e-05
8,14.3453,0.87651,3.92495,1.19889,0,0,0,0,0.82087,3.91807,1.18298,6.59746e-05,6.59746e-05,6.59746e-05
9,15.9782,0.97903,4.11615,1.20794,0,0,0,0,0.84611,3.89754,1.18643,7.28657e-05,7.28657e-05,7.28657e-05
10,17.5275,0.97469,3.85584,1.21377,0,0,0,0,0.84763,3.8851,1.17557,7.93612e-05,7.93612e-05,7.93612e-05
11,19.1195,0.93951,3.99287,1.10447,0,0,0,0,0.82329,3.85978,1.17134,8.54611e-05,8.54611e-05,8.54611e-05
12,20.6971,0.95708,3.79187,1.18597,0,0,0,0,0.81369,3.84723,1.15496,9.11654e-05,9.11654e-05,9.11654e-05
13,22.2116,0.90647,3.74445,1.19679,0.0129,0.2,0.01421,0.01245,0.82511,3.82132,1.15139,9.64741e-05,9.64741e-05,9.64741e-05
14,23.8158,0.86021,3.70598,1.12025,0.07879,0.23333,0.0531,0.02446,0.83299,3.79305,1.14579,0.000101387,0.000101387,0.000101387
15,25.4857,0.87759,3.59553,1.15597,0.07843,0.26667,0.10332,0.08132,0.83716,3.7529,1.15509,0.000105905,0.000105905,0.000105905
16,27.054,0.80971,3.37141,1.11957,0.1124,0.46667,0.16466,0.14297,0.79086,3.70938,1.1223,0.000110027,0.000110027,0.000110027
17,28.6621,0.97435,3.4345,1.11767,0.2026,0.54667,0.28556,0.26511,0.76242,3.61252,1.09512,0.000113753,0.000113753,0.000113753
18,30.1758,0.86212,3.21206,1.15842,0.2447,0.59333,0.35579,0.31002,0.77988,3.5721,1.09802,0.000117083,0.000117083,0.000117083
19,31.7644,0.89897,3.23166,1.13959,0.19436,0.59333,0.35159,0.30959,0.78612,3.53569,1.104,0.000120019,0.000120019,0.000120019
20,33.3081,0.87471,3.28948,1.09312,0.20319,0.60667,0.36342,0.31864,0.80591,3.51103,1.11839,0.000122558,0.000122558,0.000122558
21,34.8297,0.86149,3.33623,1.12849,0.17407,0.60667,0.35491,0.30844,0.84745,3.50244,1.15393,0.000124702,0.000124702,0.000124702
22,36.4204,0.8617,3.24987,1.09447,0.18308,0.63333,0.3454,0.30086,0.85748,3.49914,1.15384,0.00012645,0.00012645,0.00012645
23,37.9887,0.8538,3.28522,1.08212,0.20025,0.66,0.36323,0.31389,0.85301,3.49429,1.14971,0.000127803,0.000127803,0.000127803
24,39.5704,0.91069,3.04276,1.11892,0.21836,0.68667,0.36185,0.30826,0.86631,3.50065,1.15824,0.00012876,0.00012876,0.00012876
