epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62118,1.15337,3.77474,1.16822,0.00509,0.76667,0.18316,0.13989,0.87002,3.38306,1.0293,3.75e-05,3.75e-05,3.75e-05
2,6.80261,1.00337,3.62806,1.1514,0.00622,0.78333,0.38254,0.26744,0.85766,3.35584,1.00995,8.57675e-05,8.57675e-05,8.57675e-05
3,8.81019,0.95877,3.17991,1.05048,0.00791,0.85,0.26217,0.15654,0.83726,3.27559,1.00097,0.000132055,0.000132055,0.000132055
4,10.7944,0.97638,2.44947,1.00965,0.92154,0.16667,0.42484,0.32416,0.77614,2.98608,0.96438,0.000176362,0.000176362,0.000176362
5,12.7394,1.22108,2.44229,1.14836,0.86528,0.2,0.57335,0.4352,0.77966,2.94429,0.97249,0.00021869,0.00021869,0.00021869
6,14.6377,1.03882,2.13939,1.07208,0.01302,1,0.65255,0.50585,0.7742,2.90642,0.97893,0.000259038,0.000259038,0.000259038
7,16.6759,0.9973,1.72974,1.03301,0.01416,0.95,0.61598,0.49944,0.81691,2.8773,0.97535,0.000297405,0.000297405,0.000297405
8,18.6258,0.95287,1.83072,1.09859,0.952,0.14066,0.6291,0.51467,0.87438,2.84055,0.98292,0.000333792,0.000333792,0.000333792
9,20.595,1.11397,1.74243,1.07453,1,0.0291,0.65235,0.50067,0.84534,2.87015,1.00636,0.0003682,0.0003682,0.0003682
10,22.4764,0.99838,1.6403,1.08964,0.97443,0.37529,0.74693,0.55664,0.95293,2.88674,1.02709,0.000400628,0.000400628,0.000400628
11,24.4093,1.02438,1.65938,1.04269,0.01288,0.96667,0.60631,0.45645,0.95827,2.92624,1.06406,0.000431075,0.000431075,0.000431075
12,26.2301,1.05211,1.74419,1.14934,0.87975,0.16016,0.59702,0.48916,0.99446,2.84071,1.05073,0.000459543,0.000459543,0.000459543
13,28.1124,1.00801,1.52498,1.06223,0.86913,0.30439,0.80278,0.62659,1.0139,2.7402,1.10713,0.00048603,0.00048603,0.00048603
14,30.0118,0.93858,1.38258,0.99529,0.93032,0.2335,0.83671,0.65094,0.96398,2.70717,1.08385,0.000510537,0.000510537,0.000510537
15,31.9485,0.9435,1.38609,1.02973,0.98598,0.35724,0.79025,0.6087,0.97322,2.58123,1.07866,0.000533065,0.000533065,0.000533065
16,33.8419,0.98803,1.45498,1.03701,0.96398,0.37428,0.75456,0.5835,0.95806,2.58784,1.06889,0.000553613,0.000553613,0.000553613
17,35.709,1.01229,1.46991,1.01905,0.91276,0.24291,0.8084,0.62873,0.96007,2.55903,1.04261,0.00057218,0.00057218,0.00057218
