epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64424,0.98973,4.45789,1.35483,0,0,0,0,0.82586,3.94348,1.19411,6.66e-06,6.66e-06,6.66e-06
2,5.09503,0.97429,4.23207,1.29145,0,0,0,0,0.78362,3.94014,1.16973,1.61005e-05,1.61005e-05,1.61005e-05
3,6.49969,0.94854,4.28868,1.32439,0,0,0,0,0.76473,3.93819,1.1635,2.48818e-05,2.48818e-05,2.48818e-05
4,7.92493,0.88066,4.19288,1.19371,0,0,0,0,0.78248,3.9362,1.15713,3.30036e-05,3.30036e-05,3.30036e-05
5,9.45759,1.00289,4.411,1.25444,0,0,0,0,0.79988,3.94119,1.18101,4.04662e-05,4.04662e-05,4.04662e-05
6,11.0935,0.98051,4.39501,1.17686,0,0,0,0,0.79489,3.93646,1.17296,4.72694e-05,4.72694e-05,4.72694e-05
7,12.5915,1.02188,4.18631,1.20554,0,0,0,0,0.78008,3.92232,1.16238,5.34132e-05,5.34132e-05,5.34132e-05
8,13.9327,0.88229,3.94289,1.20012,0,0,0,0,0.78844,3.91576,1.16281,5.88977e-05,5.88977e-05,5.88977e-05
9,15.316,0.97986,4.13777,1.21225,0,0,0,0,0.85027,3.90836,1.20157,6.37229e-05,6.37229e-05,6.37229e-05
10,16.7499,0.98478,3.8874,1.21941,0,0,0,0,0.8578,3.90225,1.21297,6.78887e-05,6.78887e-05,6.78887e-05
11,18.2526,0.94333,4.02899,1.1079,0,0,0,0,0.863,3.87117,1.20348,7.13952e-05,7.13952e-05,7.13952e-05
12,19.5778,0.9645,3.82925,1.18636,0,0,0,0,0.85272,3.85879,1.18798,7.42423e-05,7.42423e-05,7.42423e-05
13,20.9764,0.91267,3.79843,1.21518,0.00741,0.1,0.0057,0.00513,0.84671,3.83638,1.16882,7.64302e-05,7.64302e-05,7.64302e-05
14,22.361,0.87128,3.76387,1.12371,0.00714,0.1,0.00563,0.00507,0.84971,3.82326,1.16471,7.79586e-05,7.79586e-05,7.79586e-05
15,23.7254,0.87006,3.66969,1.15447,0.09212,0.26667,0.10726,0.06367,0.84253,3.78258,1.143,7.88278e-05,7.88278e-05,7.88278e-05
16,25.0784,0.81437,3.46755,1.1178,0.09212,0.26667,0.10726,0.06367,0.84797,3.76623,1.15024,7.90376e-05,7.90376e-05,7.90376e-05
17,26.4236,0.95779,3.57413,1.1162,0.21716,0.39333,0.20464,0.16149,0.82147,3.71928,1.12336,7.8588e-05,7.8588e-05,7.8588e-05
18,27.7574,0.86305,3.36199,1.16716,0.20922,0.42667,0.2092,0.17041,0.81086,3.68945,1.1216,7.74791e-05,7.74791e-05,7.74791e-05
19,29.0637,0.89981,3.37897,1.13665,0.2497,0.57333,0.25368,0.20398,0.84157,3.64978,1.153,7.57109e-05,7.57109e-05,7.57109e-05
20,30.4542,0.88291,3.4263,1.09099,0.24106,0.57333,0.29917,0.24785,0.85034,3.6246,1.16031,7.32833e-05,7.32833e-05,7.32833e-05
21,62.703,0.94222,3.33469,1.17542,0.24318,0.57333,0.32632,0.27069,0.8456,3.58875,1.15361,7.01964e-05,7.01964e-05,7.01964e-05
22,64.076,0.69753,3.09693,1.10982,0.20379,0.58667,0.31243,0.25121,0.84581,3.5781,1.15779,6.64502e-05,6.64502e-05,6.64502e-05
23,65.376,0.83597,3.16805,1.07268,0.20339,0.62,0.32364,0.27188,0.8523,3.56166,1.15804,6.20446e-05,6.20446e-05,6.20446e-05
24,66.7546,0.73124,2.79683,1.07458,0.21123,0.63333,0.3352,0.28141,0.86098,3.53499,1.16242,5.69796e-05,5.69796e-05,5.69796e-05
25,68.1445,0.76282,3.73219,1.07705,0.19588,0.64667,0.32769,0.27309,0.87956,3.52257,1.17907,5.12554e-05,5.12554e-05,5.12554e-05
26,69.4602,0.87201,2.85749,1.18329,0.19407,0.64667,0.32646,0.27155,0.86827,3.50987,1.17257,4.48717e-05,4.48717e-05,4.48717e-05
27,70.751,0.87489,3.48908,1.28233,0.20407,0.67333,0.33785,0.27965,0.86656,3.49371,1.1733,3.78288e-05,3.78288e-05,3.78288e-05
28,72.0393,0.77529,3.56054,1.19823,0.20367,0.68667,0.34457,0.27572,0.86579,3.47456,1.16845,3.01265e-05,3.01265e-05,3.01265e-05
29,73.3262,0.87781,3.32285,1.17155,0.20367,0.68667,0.34457,0.27572,0.86579,3.47456,1.16845,2.17649e-05,2.17649e-05,2.17649e-05
30,74.6928,0.77612,3.36465,1.13268,0.19951,0.68667,0.34232,0.27364,0.87589,3.46134,1.17672,1.27439e-05,1.27439e-05,1.27439e-05
